open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,17.56000000,17.70000000,17.56000000,17.66000000,1673.81000000,1640996999999,29508.50560000,125,698.80000000,12319.53310000,0
1640997000000,17.65000000,17.79000000,17.64000000,17.75000000,1650.11000000,1640998799999,29248.40020000,144,990.80000000,17562.60910000,0
1640998800000,17.74000000,17.87000000,17.66000000,17.80000000,2127.01000000,1641000599999,37850.56090000,205,1123.78000000,19974.75990000,0
1641000600000,17.80000000,17.82000000,17.72000000,17.76000000,1121.09000000,1641002399999,19911.23890000,93,803.27000000,14262.03350000,0
1641002400000,17.78000000,17.81000000,17.73000000,17.73000000,670.58000000,1641004199999,11920.31260000,64,367.17000000,6528.87050000,0
1641004200000,17.72000000,17.74000000,17.69000000,17.70000000,599.65000000,1641005999999,10624.23130000,43,178.57000000,3164.24650000,0
1641006000000,17.71000000,17.86000000,17.71000000,17.76000000,1462.03000000,1641007799999,25979.43160000,117,937.01000000,16656.83260000,0
1641007800000,17.74000000,17.84000000,17.74000000,17.78000000,1156.89000000,1641009599999,20593.24300000,74,816.36000000,14535.60760000,0
1641009600000,17.78000000,17.83000000,17.67000000,17.74000000,1880.97000000,1641011399999,33362.82820000,113,1023.77000000,18154.65890000,0
1641011400000,17.75000000,17.80000000,17.71000000,17.75000000,1043.92000000,1641013199999,18532.80800000,74,238.11000000,4232.69310000,0
1641013200000,17.78000000,17.94000000,17.55000000,17.91000000,6983.66000000,1641014999999,123790.46360000,396,4032.49000000,71516.39680000,0
1641015000000,17.93000000,18.00000000,17.82000000,17.85000000,2426.35000000,1641016799999,43459.24420000,166,1517.62000000,27186.95040000,0
1641016800000,17.86000000,17.90000000,17.79000000,17.86000000,732.91000000,1641018599999,13088.51250000,48,229.24000000,4096.27770000,0
1641018600000,17.86000000,17.89000000,17.79000000,17.79000000,1742.36000000,1641020399999,31099.04670000,88,795.05000000,14182.46540000,0
1641020400000,17.81000000,17.84000000,17.71000000,17.71000000,3125.40000000,1641022199999,55450.68050000,123,1988.59000000,35294.20310000,0
1641022200000,17.71000000,17.82000000,17.69000000,17.79000000,972.67000000,1641023999999,17278.34970000,71,754.31000000,13404.72240000,0
1641024000000,17.77000000,17.82000000,17.74000000,17.82000000,748.01000000,1641025799999,13305.56780000,76,629.67000000,11200.85900000,0
1641025800000,17.80000000,17.82000000,17.74000000,17.77000000,968.52000000,1641027599999,17234.89320000,71,467.07000000,8313.59370000,0
1641027600000,17.79000000,17.87000000,17.76000000,17.85000000,2308.12000000,1641029399999,41119.78890000,116,1395.12000000,24856.06950000,0
1641029400000,17.83000000,17.86000000,17.68000000,17.77000000,2251.20000000,1641031199999,39942.47590000,140,841.52000000,14939.45990000,0
1641031200000,17.79000000,17.85000000,17.58000000,17.61000000,1197.08000000,1641032999999,21179.14260000,137,441.42000000,7840.58510000,0
1641033000000,17.59000000,17.72000000,17.52000000,17.66000000,2041.47000000,1641034799999,35946.76340000,131,1256.18000000,22124.36510000,0
1641034800000,17.68000000,17.74000000,17.67000000,17.70000000,1955.09000000,1641036599999,34606.80610000,106,704.80000000,12477.90990000,0
1641036600000,17.72000000,17.72000000,17.61000000,17.61000000,485.77000000,1641038399999,8582.78220000,61,193.23000000,3413.93710000,0
1641038400000,17.63000000,17.73000000,17.60000000,17.66000000,2526.90000000,1641040199999,44674.59040000,167,971.91000000,17189.05640000,0
1641040200000,17.69000000,17.83000000,17.69000000,17.80000000,2280.56000000,1641041999999,40500.23230000,193,1611.04000000,28619.84910000,0
1641042000000,17.80000000,17.89000000,17.79000000,17.84000000,2102.04000000,1641043799999,37503.40360000,145,635.48000000,11345.71250000,0
1641043800000,17.84000000,17.94000000,17.84000000,17.88000000,1774.40000000,1641045599999,31769.11830000,130,721.44000000,12922.24500000,0
1641045600000,17.87000000,17.97000000,17.86000000,17.92000000,1183.59000000,1641047399999,21207.03190000,102,605.11000000,10846.83680000,0
1641047400000,17.93000000,17.93000000,17.80000000,17.90000000,1190.12000000,1641049199999,21278.09660000,104,693.15000000,12397.36440000,0
1641049200000,17.89000000,18.00000000,17.87000000,18.00000000,1854.88000000,1641050999999,33263.62350000,105,678.60000000,12171.24020000,0
1641051000000,17.98000000,18.11000000,17.92000000,17.94000000,5766.80000000,1641052799999,103839.61490000,316,2757.97000000,49664.15230000,0
1641052800000,17.92000000,18.29000000,17.92000000,18.21000000,9489.35000000,1641054599999,172109.38220000,566,7257.15000000,131718.81020000,0
1641054600000,18.21000000,18.35000000,18.13000000,18.19000000,4692.33000000,1641056399999,85576.58850000,390,2183.28000000,39842.97140000,0
1641056400000,18.19000000,18.21000000,18.12000000,18.18000000,3515.20000000,1641058199999,63896.47050000,133,1799.92000000,32738.95920000,0
1641058200000,18.19000000,18.49000000,18.19000000,18.37000000,9136.07000000,1641059999999,167653.79240000,598,5516.11000000,101154.25780000,0
1641060000000,18.38000000,18.46000000,18.31000000,18.32000000,5178.22000000,1641061799999,95152.99780000,262,2514.45000000,46184.66950000,0
1641061800000,18.33000000,18.48000000,18.27000000,18.43000000,5190.94000000,1641063599999,95548.93190000,330,2440.45000000,44897.70910000,0
1641063600000,18.42000000,18.59000000,18.36000000,18.39000000,20225.06000000,1641065399999,372766.71200000,1286,13411.82000000,246941.94620000,0
1641065400000,18.38000000,18.56000000,18.22000000,18.49000000,6896.73000000,1641067199999,126639.19290000,498,3433.79000000,63153.82680000,0
1641067200000,18.48000000,18.54000000,18.45000000,18.52000000,2491.22000000,1641068999999,46047.91240000,140,1145.68000000,21180.88710000,0
1641069000000,18.52000000,18.58000000,18.50000000,18.53000000,1161.21000000,1641070799999,21518.39760000,93,412.60000000,7651.12070000,0
1641070800000,18.53000000,18.64000000,18.53000000,18.60000000,6644.93000000,1641072599999,123577.02480000,433,3805.15000000,70790.24710000,0
1641072600000,18.60000000,18.64000000,18.52000000,18.57000000,3583.13000000,1641074399999,66514.81360000,290,1183.93000000,21985.20120000,0
1641074400000,18.55000000,18.57000000,18.35000000,18.44000000,10751.58000000,1641076199999,198183.34630000,601,4337.79000000,79974.22770000,0
1641076200000,18.45000000,18.47000000,18.37000000,18.45000000,1526.37000000,1641077999999,28121.09910000,160,711.13000000,13101.76020000,0
1641078000000,18.45000000,18.51000000,18.40000000,18.50000000,1848.38000000,1641079799999,34112.29710000,190,941.58000000,17387.18710000,0
1641079800000,18.50000000,18.74000000,18.38000000,18.73000000,4280.69000000,1641081599999,79386.92730000,349,1777.02000000,33029.52940000,0
1641081600000,18.70000000,18.74000000,18.54000000,18.61000000,3066.94000000,1641083399999,57220.35670000,258,1098.56000000,20511.47460000,0
1641083400000,18.60000000,18.67000000,18.54000000,18.58000000,3203.15000000,1641085199999,59578.66820000,474,881.88000000,16403.93530000,0
1641085200000,18.56000000,18.59000000,18.50000000,18.51000000,2535.23000000,1641086999999,47007.32300000,130,538.05000000,9982.07740000,0
1641087000000,18.50000000,18.52000000,18.43000000,18.45000000,1784.41000000,1641088799999,32957.27570000,91,551.71000000,10179.65130000,0
1641088800000,18.45000000,18.53000000,18.45000000,18.49000000,770.76000000,1641090599999,14249.82410000,74,410.90000000,7593.86940000,0
1641090600000,18.49000000,18.70000000,18.49000000,18.66000000,2570.64000000,1641092399999,47846.78820000,217,1678.72000000,31219.29750000,0
1641092400000,18.67000000,18.79000000,18.64000000,18.77000000,2871.09000000,1641094199999,53787.30950000,241,1603.44000000,30065.40870000,0
